ID,ID,Category,Artist,Title,Year,Image URL,Painting Info URL,Artist Info URL
944,57727d75edc2cb3880e7cd7e,Northern Renaissance,Joachim Patinir,St. Jerome in Rocky Landscape,1520,https://uploads5.wikiart.org/images/joachim-patinir/st-jerome-in-rocky-landscape.jpg,https://www.wikiart.org/en/joachim-patinir/st-jerome-in-rocky-landscape,https://www.wikiart.org/en/joachim-patinir
325,57727be9edc2cb3880e2e2d8,Impressionism,John Singer Sargent,Charles Stuart Forbes,1882-1883,https://uploads7.wikiart.org/images/john-singer-sargent/charles-stuart-forbes-1883.jpg,https://www.wikiart.org/en/john-singer-sargent/charles-stuart-forbes-1883,https://www.wikiart.org/en/john-singer-sargent
93,577286aaedc2cb388004e49a,Romanticism,Horace Vernet,The Emperor Napoleon I,1815,https://uploads2.wikiart.org/images/horace-vernet/the-emperor-napoleon-i-1815.jpg,https://www.wikiart.org/en/horace-vernet/the-emperor-napoleon-i-1815,https://www.wikiart.org/en/horace-vernet
593,57728560edc2cb388000f134,Neoclassicism,Arno Breker,Prometheus,1937,https://uploads6.wikiart.org/images/arno-breker/prometheus-1937.jpg,https://www.wikiart.org/en/arno-breker/prometheus-1937,https://www.wikiart.org/en/arno-breker
1457,57727fb8edc2cb3880eec9fd,Abstract Art,Lawren Harris,Nature Rhythms,1950,https://uploads3.wikiart.org/images/lawren-harris/nature-rhythms-1950.jpg,https://www.wikiart.org/en/lawren-harris/nature-rhythms-1950,https://www.wikiart.org/en/lawren-harris
1056,5772849aedc2cb3880fe6c81,Color Field Painting,Walter Darby Bannard,Aberddeen I,1970,https://uploads7.wikiart.org/images/walter-darby-bannard/aberddeen-i-1970.jpg,https://www.wikiart.org/en/walter-darby-bannard/aberddeen-i-1970,https://www.wikiart.org/en/walter-darby-bannard
15,57727ca4edc2cb3880e54008,Early Renaissance,Domenico Veneziano,Madonna and Child,1435,https://uploads6.wikiart.org/images/domenico-veneziano/madonna-and-child.jpg,https://www.wikiart.org/en/domenico-veneziano/madonna-and-child,https://www.wikiart.org/en/domenico-veneziano
171,577284a2edc2cb3880fe78b5,Color Field Painting,Ray Parker,Untitled,1961,https://uploads3.wikiart.org/images/ray-parker/untitled-1961.jpg,https://www.wikiart.org/en/ray-parker/untitled-1961,https://www.wikiart.org/en/ray-parker
1597,577278b0edc2cb3880d8b4fe,Romanticism,Pierre-Paul Prud&#39;hon,Portrait of Georges Anthony,1796,https://uploads5.wikiart.org/images/pierre-paul-prud-hon/portrait-of-georges-anthony-1796.jpg,https://www.wikiart.org/en/pierre-paul-prud-hon/portrait-of-georges-anthony-1796,https://www.wikiart.org/en/pierre-paul-prud-hon
1674,57727e13edc2cb3880e9b46d,Magic Realism,Eyvind Earle,Mystic Mountain,1989,https://uploads3.wikiart.org/images/eyvind-earle/mystic-mountain-1989.jpg,https://www.wikiart.org/en/eyvind-earle/mystic-mountain-1989,https://www.wikiart.org/en/eyvind-earle
1465,5772842aedc2cb3880fd19d7,Art Informel,Willi Baumeister,Aru Dark Blue,1955,https://uploads5.wikiart.org/images/willi-baumeister/aru-dark-blue-1955.jpg,https://www.wikiart.org/en/willi-baumeister/aru-dark-blue-1955,https://www.wikiart.org/en/willi-baumeister
1432,57728723edc2cb3880064336,Lyrical Abstraction,Bernard Cohen,Floris,1964,https://uploads4.wikiart.org/images/bernard-cohen/floris-1964.jpg,https://www.wikiart.org/en/bernard-cohen/floris-1964,https://www.wikiart.org/en/bernard-cohen
1664,57726f02edc2cb3880b935ca,Impressionism,Edouard Manet,Self Portrait with a Palette,1879,https://uploads7.wikiart.org/00112/images/edouard-manet/edouard-manet-060.jpg,https://www.wikiart.org/en/edouard-manet/self-portrait-with-a-palette-1879,https://www.wikiart.org/en/edouard-manet
1380,577286a1edc2cb388004d63b,"Magic Realism,Neoclassicism",Antonio Donghi,Before the Singing,1930,https://uploads8.wikiart.org/images/antonio-donghi/before-the-singing-1930.jpg,https://www.wikiart.org/en/antonio-donghi/before-the-singing-1930,https://www.wikiart.org/en/antonio-donghi
992,577287afedc2cb388007fc4b,Minimalism,Antonio Calderara,Spazio Luce,1960,https://uploads4.wikiart.org/images/antonio-calderara/spazio-luce-1960.jpg,https://www.wikiart.org/en/antonio-calderara/spazio-luce-1960,https://www.wikiart.org/en/antonio-calderara
1063,57727692edc2cb3880d1ed75,Cubism,Aristarkh Lentulov,Self-portrait,1915,https://uploads7.wikiart.org/images/aristarkh-lentulov/self-portrait-1915.jpg,https://www.wikiart.org/en/aristarkh-lentulov/self-portrait-1915,https://www.wikiart.org/en/aristarkh-lentulov
762,57726f47edc2cb3880b9ffaf,Romanticism,Francisco Goya,Bad night,1799,https://uploads8.wikiart.org/images/francisco-goya/bad-night-1799.jpg,https://www.wikiart.org/en/francisco-goya/bad-night-1799,https://www.wikiart.org/en/francisco-goya
1038,577284faedc2cb3880ffa922,Art Informel,Modest Cuixart,Untitled,1959,https://uploads7.wikiart.org/images/modest-cuixart/untitled-1959.jpg,https://www.wikiart.org/en/modest-cuixart/untitled-1959,https://www.wikiart.org/en/modest-cuixart
1528,5772840aedc2cb3880fc9321,Magic Realism,Zhang Xiaogang,A Big Family,1995,https://uploads2.wikiart.org/images/zhang-xiaogang/a-big-family-1995.jpg,https://www.wikiart.org/en/zhang-xiaogang/a-big-family-1995,https://www.wikiart.org/en/zhang-xiaogang
167,577287baedc2cb3880080d18,Neo-Expressionism,Peter Alexander,Ceanothus,2001,https://uploads0.wikiart.org/images/peter-alexander/ceanothus-2001.jpg,https://www.wikiart.org/en/peter-alexander/ceanothus-2001,https://www.wikiart.org/en/peter-alexander
